# Title : Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.1
# Date of update : 20180912184600
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : NRL-MRY
file,date,latitude,longitude,ocean,profiler_type,institution,date_update
aoml/13857/profiles/R13857_001.nc,19970729200300,0.267,-16.032,A,845,AO,20160401193107
aoml/13857/profiles/R13857_002.nc,19970809192112,0.072,-17.659,A,845,AO,20160401193107
aoml/13857/profiles/R13857_003.nc,19970820184545,0.543,-19.622,A,845,AO,20160401193108
aoml/13857/profiles/R13857_004.nc,19970831193905,1.256,-20.521,A,845,AO,20160401193108
aoml/13857/profiles/R13857_005.nc,19970911185808,0.720,-20.768,A,845,AO,20160401193109
aoml/13857/profiles/R13857_006.nc,19970922195702,1.756,-21.566,A,845,AO,20160401193109
aoml/13857/profiles/R13857_007.nc,19971003191549,2.595,-21.564,A,845,AO,20160401193110
aoml/13857/profiles/R13857_008.nc,19971014183935,1.761,-21.587,A,845,AO,20160401193110
aoml/13857/profiles/R13857_009.nc,19971025193234,1.804,-21.774,A,845,AO,20160401193110
aoml/13857/profiles/R13857_010.nc,19971105185142,1.642,-21.362,A,845,AO,20160401193111
aoml/13857/profiles/R13857_011.nc,19971116194909,1.708,-20.758,A,845,AO,20160401193111
aoml/13857/profiles/R13857_012.nc,19971127190705,2.048,-20.224,A,845,AO,20160401193112
aoml/13857/profiles/R13857_013.nc,19971208183913,2.087,-19.769,A,845,AO,20160401193112
aoml/13857/profiles/R13857_014.nc,19971219192356,2.674,-20.144,A,845,AO,20160401193113
aoml/13857/profiles/R13857_015.nc,19971230184422,2.890,-20.433,A,845,AO,20160401193113
aoml/13857/profiles/R13857_016.nc,19980110194140,2.818,-20.699,A,845,AO,20160401193114
aoml/13857/profiles/R13857_017.nc,19980121190033,2.940,-20.789,A,845,AO,20160401193114
aoml/13857/profiles/R13857_018.nc,19980201195831,3.224,-20.757,A,845,AO,20160401193115
aoml/13857/profiles/R13857_019.nc,19980212191555,3.757,-20.953,A,845,AO,20160401193115
aoml/13857/profiles/R13857_020.nc,19980223184016,3.935,-20.805,A,845,AO,20160401193116
aoml/13857/profiles/R13857_021.nc,19980306193254,4.006,-20.016,A,845,AO,20160401193116
aoml/13857/profiles/R13857_022.nc,19980317185446,3.841,-19.594,A,845,AO,20160401193117
aoml/13857/profiles/R13857_023.nc,19980329025435,3.840,-19.004,A,845,AO,20160401193117
aoml/13857/profiles/R13857_024.nc,19980408190603,3.529,-19.409,A,845,AO,20160401193118
aoml/13857/profiles/R13857_025.nc,19980419200501,3.590,-19.398,A,845,AO,20160401193118
aoml/13857/profiles/R13857_026.nc,19980430192248,3.815,-19.252,A,845,AO,20160401193118
aoml/13857/profiles/R13857_027.nc,19980511184606,3.541,-19.034,A,845,AO,20160401193119
aoml/13857/profiles/R13857_028.nc,19980522193832,3.347,-18.711,A,845,AO,20160401193119
aoml/13857/profiles/R13857_029.nc,19980602185650,3.236,-18.883,A,845,AO,20160401193120
aoml/13857/profiles/R13857_030.nc,19980613195405,3.317,-18.781,A,845,AO,20160401193120
aoml/13857/profiles/R13857_031.nc,19980624191155,3.424,-18.946,A,845,AO,20160401193121
aoml/13857/profiles/R13857_032.nc,19980705200958,3.244,-19.063,A,845,AO,20160401193121
aoml/13857/profiles/R13857_033.nc,19980716192720,3.340,-19.104,A,845,AO,20160401193122
aoml/13857/profiles/R13857_034.nc,19980727184756,3.553,-19.280,A,845,AO,20160401193122
aoml/13857/profiles/R13857_035.nc,19980807194227,3.927,-18.815,A,845,AO,20160401193123
aoml/13857/profiles/R13857_036.nc,19980818185935,3.736,-18.552,A,845,AO,20160401193123
aoml/13857/profiles/R13857_037.nc,19980829195827,3.622,-18.176,A,845,AO,20160401193124
aoml/13857/profiles/R13857_038.nc,19980909191624,3.786,-18.031,A,845,AO,20160401193124
aoml/13857/profiles/R13857_039.nc,19980920201346,3.979,-17.841,A,845,AO,20160401193125
aoml/13857/profiles/R13857_040.nc,19981001192909,3.723,-17.854,A,845,AO,20160401193125
aoml/13857/profiles/R13857_041.nc,19981012184849,3.704,-17.962,A,845,AO,20160401193126
