%    Berkeley, CA, station ID  74506003
% T	VER	NOAA NCDC GHCN v2 adjusted mean temp
% months since 1960-01-01	unitless	Celsius_scale
    -877.500	           0	    14.70000
    -876.500	           0	    11.60000
    -875.500	           0	    10.70000
    -874.500	           0	     7.70000
    -873.500	           0	    10.00000
    -872.500	           0	    10.10000
    -871.500	           0	    11.80000
    -870.500	           0	    14.80000
    -869.500	           0	    13.60000
    -868.500	           0	    13.80000
    -867.500	           0	    15.40000
    -866.500	           0	    16.60000
    -865.500	           0	    12.00000
    -864.500	           0	    10.70000
    -863.500	           0	     8.00000
    -862.500	           0	    11.50000
    -861.500	           0	     8.80000
    -860.500	           0	    11.80000
    -859.500	           0	    11.70000
    -858.500	           0	    16.50000
    -857.500	           0	    16.30000
    -856.500	           0	    15.30000
    -855.500	           0	    16.10000
    -854.500	           0	    15.00000
    -853.500	           0	    12.80000
    -852.500	           0	    11.80000
    -851.500	           0	     9.30000
    -850.500	           0	    11.60000
    -849.500	           0	    10.90000
    -848.500	           0	    11.90000
    -847.500	           0	    12.70000
    -846.500	           0	    15.00000
    -845.500	           0	    14.50000
    -844.500	           0	    15.20000
    -843.500	           0	    16.90000
    -842.500	           0	    15.40000
    -841.500	           0	    13.40000
    -840.500	           0	     9.90000
    -839.500	           0	     7.30000
    -838.500	           0	     8.60000
    -837.500	           0	     9.10000
    -836.500	           0	    10.10000
    -835.500	           0	    12.80000
    -834.500	           0	    14.70000
    -833.500	           0	    15.40000
    -832.500	           0	    15.50000
    -831.500	           0	    15.10000
    -830.500	           0	    15.40000
    -829.500	           0	    13.80000
    -828.500	           0	     9.70000
    -827.500	           0	    10.70000
    -826.500	           0	    10.40000
    -825.500	           0	     9.70000
    -824.500	           0	     9.90000
    -823.500	           0	    11.80000
    -822.500	           0	    16.20000
    -821.500	           0	    16.50000
    -820.500	           0	    17.00000
    -819.500	           0	    16.30000
    -818.500	           0	    14.60000
    -817.500	           0	    13.60000
    -816.500	           0	     9.20000
    -815.500	           0	    10.70000
    -814.500	           0	    11.30000
    -813.500	           0	    10.20000
    -812.500	           0	     9.30000
    -811.500	           0	    12.40000
    -810.500	           0	    14.20000
    -809.500	           0	    15.00000
    -808.500	           0	    15.30000
    -807.500	           0	    16.30000
    -806.500	           0	    15.10000
    -805.500	           0	    13.00000
    -804.500	           0	    10.70000
    -803.500	           0	     9.00000
    -802.500	           0	     9.80000
    -801.500	           0	     9.00000
    -800.500	           0	     9.80000
    -799.500	           0	    13.10000
    -798.500	           0	    15.90000
    -797.500	           0	    16.30000
    -796.500	           0	    15.70000
    -795.500	           0	    15.60000
    -794.500	           0	    14.10000
    -793.500	           0	    12.40000
    -792.500	           0	    11.10000
    -791.500	           0	     8.60000
    -790.500	           0	     8.90000
    -789.500	           0	     8.50000
    -788.500	           0	    11.80000
    -787.500	           0	    12.50000
    -786.500	           0	    15.10000
    -785.500	           0	    15.80000
    -784.500	           0	    17.00000
    -783.500	           0	    18.00000
    -782.500	           0	    15.10000
    -781.500	           0	    14.10000
    -780.500	           0	     9.70000
    -779.500	           0	     8.90000
    -778.500	           0	    12.00000
    -777.500	           0	     9.50000
    -776.500	           0	    11.40000
    -775.500	           0	    14.20000
    -774.500	           0	    16.70000
    -773.500	           0	    16.70000
    -772.500	           0	    16.60000
    -771.500	           0	    16.40000
    -770.500	           0	    15.10000
    -769.500	           0	    12.70000
    -768.500	           0	     9.10000
    -767.500	           0	    11.20000
    -766.500	           0	    12.70000
    -765.500	           0	    10.70000
    -764.500	           0	     9.50000
    -763.500	           0	    12.90000
    -762.500	           0	    16.50000
    -761.500	           0	    17.90000
    -760.500	           0	    17.60000
    -759.500	           0	    16.20000
    -758.500	           0	    15.30000
    -757.500	           0	    10.60000
    -756.500	           0	    11.20000
    -755.500	           0	     9.20000
    -754.500	           0	    10.10000
    -753.500	           0	     7.40000
    -752.500	           0	    12.90000
    -751.500	           0	    14.40000
    -750.500	           0	    16.70000
    -749.500	           0	    17.20000
    -748.500	           0	    16.00000
    -747.500	           0	    17.00000
    -746.500	           0	    14.60000
    -745.500	           0	    10.60000
    -744.500	           0	     9.80000
    -743.500	           0	     7.90000
    -742.500	           0	    11.80000
    -741.500	           0	     9.10000
    -740.500	           0	    12.20000
    -739.500	           0	    11.60000
    -738.500	           0	    17.10000
    -737.500	           0	    16.30000
    -736.500	           0	    16.30000
    -735.500	           0	    16.20000
    -734.500	           0	    15.90000
    -733.500	           0	    12.00000
    -732.500	           0	     9.80000
    -731.500	           0	    11.70000
    -730.500	           0	    11.30000
    -729.500	           0	     9.80000
    -728.500	           0	    11.70000
    -727.500	           0	    11.70000
    -726.500	           0	    16.00000
    -725.500	           0	    15.50000
    -724.500	           0	    16.00000
    -723.500	           0	    16.00000
    -722.500	           0	    14.60000
    -721.500	           0	    12.90000
    -720.500	           0	     9.80000
    -719.500	           0	    10.70000
    -718.500	           0	    11.70000
    -717.500	           0	    11.30000
    -716.500	           0	    11.00000
    -715.500	           0	    14.50000
    -714.500	           0	    16.50000
    -713.500	           0	    17.10000
    -712.500	           0	    16.80000
    -711.500	           0	    17.70000
    -710.500	           0	    15.00000
    -709.500	           0	    13.20000
    -708.500	           0	    10.60000
    -707.500	           0	    10.10000
    -706.500	           0	    11.40000
    -705.500	           0	    11.70000
    -704.500	           0	    10.50000
    -703.500	           0	    12.40000
    -702.500	           0	    16.00000
    -701.500	           0	    15.80000
    -700.500	           0	    15.80000
    -699.500	           0	    15.60000
    -698.500	           0	    16.90000
    -697.500	           0	    13.80000
    -696.500	           0	    11.00000
    -695.500	           0	     8.30000
    -694.500	           0	    11.90000
    -693.500	           0	     8.90000
    -692.500	           0	    11.30000
    -691.500	           0	    12.60000
    -690.500	           0	    16.20000
    -689.500	           0	    17.00000
    -688.500	           0	    17.20000
    -687.500	           0	    17.50000
    -686.500	           0	    15.00000
    -685.500	           0	    11.10000
    -684.500	           0	     9.80000
    -683.500	           0	     8.80000
    -682.500	           0	     8.60000
    -681.500	           0	     9.10000
    -680.500	           0	    10.60000
    -679.500	           0	    12.90000
    -678.500	           0	    17.00000
    -677.500	           0	    16.00000
    -676.500	           0	    15.70000
    -675.500	           0	    16.20000
    -674.500	           0	    15.60000
    -673.500	           0	    12.10000
    -672.500	           0	    10.30000
    -671.500	           0	     9.10000
    -670.500	           0	     9.40000
    -669.500	           0	     8.70000
    -668.500	           0	    11.70000
    -667.500	           0	    14.20000
    -666.500	           0	    16.30000
    -665.500	           0	    15.10000
    -664.500	           0	    14.80000
    -663.500	           0	    17.40000
    -662.500	           0	    14.80000
    -661.500	           0	    12.10000
    -660.500	           0	     8.80000
    -659.500	           0	    10.10000
    -658.500	           0	    11.20000
    -657.500	           0	    11.00000
    -656.500	           0	    11.60000
    -655.500	           0	    11.80000
    -654.500	           0	    14.50000
    -653.500	           0	    16.20000
    -652.500	           0	    15.20000
    -651.500	           0	    15.70000
    -650.500	           0	    14.40000
    -649.500	           0	    11.60000
    -648.500	           0	     9.30000
    -647.500	           0	     9.80000
    -646.500	           0	    13.40000
    -645.500	           0	    10.70000
    -644.500	           0	    12.50000
    -643.500	           0	    12.90000
    -642.500	           0	    16.70000
    -641.500	           0	    17.20000
    -640.500	           0	    16.30000
    -639.500	           0	    17.10000
    -638.500	           0	    16.30000
    -637.500	           0	    12.30000
    -636.500	           0	    10.10000
    -635.500	           0	     8.90000
    -634.500	           0	    13.40000
    -633.500	           0	     8.90000
    -632.500	           0	    12.80000
    -631.500	           0	    13.40000
    -630.500	           0	    15.70000
    -629.500	           0	    16.60000
    -628.500	           0	    16.70000
    -627.500	           0	    16.30000
    -626.500	           0	    15.70000
    -625.500	           0	    12.80000
    -624.500	           0	    11.10000
    -623.500	           0	    10.10000
    -622.500	           0	    13.40000
    -621.500	           0	    10.20000
    -620.500	           0	    12.50000
    -619.500	           0	    12.80000
    -618.500	           0	    15.20000
    -617.500	           0	    16.80000
    -616.500	           0	    15.90000
    -615.500	           0	    16.60000
    -614.500	           0	    14.60000
    -613.500	           0	    11.70000
    -612.500	           0	     8.30000
    -611.500	           0	    11.00000
    -610.500	           0	    10.60000
    -609.500	           0	     8.90000
    -608.500	           0	    12.50000
    -607.500	           0	    12.70000
    -606.500	           0	    15.60000
    -605.500	           0	    16.90000
    -604.500	           0	    16.10000
    -603.500	           0	    17.10000
    -602.500	           0	    14.70000
    -601.500	           0	    11.50000
    -600.500	           0	     9.50000
    -599.500	           0	     7.60000
    -598.500	           0	     9.60000
    -597.500	           0	    10.80000
    -596.500	           0	    12.60000
    -595.500	           0	    14.70000
    -594.500	           0	    15.20000
    -593.500	           0	    15.70000
    -592.500	           0	    14.70000
    -591.500	           0	    14.60000
    -590.500	           0	    15.40000
    -589.500	           0	    11.30000
    -588.500	           0	    11.00000
    -587.500	           0	    10.10000
    -586.500	           0	     8.70000
    -585.500	           0	    10.60000
    -584.500	           0	    11.00000
    -583.500	           0	    12.70000
    -582.500	           0	    14.60000
    -581.500	           0	    15.10000
    -580.500	           0	    14.80000
    -579.500	           0	    15.30000
    -578.500	           0	    15.00000
    -577.500	           0	    12.20000
    -576.500	           0	     9.80000
    -575.500	           0	    10.70000
    -574.500	           0	    11.80000
    -573.500	           0	     9.20000
    -572.500	           0	    10.10000
    -571.500	           0	    13.40000
    -570.500	           0	    16.80000
    -569.500	           0	    15.40000
    -568.500	           0	    16.30000
    -567.500	           0	    17.40000
    -566.500	           0	    14.40000
    -565.500	           0	    11.90000
    -564.500	           0	    10.10000
    -563.500	           0	     7.90000
    -562.500	           0	    10.80000
    -561.500	           0	     9.70000
