%T	VER	NOAA NCDC GHCN v2 adjusted mean temp
%months since 1960-01-01	unitless	Celsius_scale
   -1499.500    	   0.0000000E+00	   -3.700000    
   -1498.500    	   0.0000000E+00	   -5.400000    
   -1497.500    	   0.0000000E+00	   -1.100000    
   -1496.500    	   0.0000000E+00	    5.400000    
   -1495.500    	   0.0000000E+00	    11.70000    
   -1494.500    	   0.0000000E+00	    17.10000    
   -1493.500    	   0.0000000E+00	    19.90000    
   -1492.500    	   0.0000000E+00	    18.60000    
   -1491.500    	   0.0000000E+00	    13.30000    
   -1490.500    	   0.0000000E+00	    12.20000    
   -1489.500    	   0.0000000E+00	    3.700000    
   -1488.500    	   0.0000000E+00	   -6.300000    
   -1487.500    	   0.0000000E+00	   -4.400000    
   -1486.500    	   0.0000000E+00	   -7.900000    
   -1485.500    	   0.0000000E+00	   -1.200000    
   -1484.500    	   0.0000000E+00	    5.700000    
   -1483.500    	   0.0000000E+00	    12.20000    
   -1482.500    	   0.0000000E+00	    14.60000    
   -1481.500    	   0.0000000E+00	    18.70000    
   -1480.500    	   0.0000000E+00	    16.60000    
   -1479.500    	   0.0000000E+00	    15.50000    
   -1478.500    	   0.0000000E+00	    6.900000    
   -1477.500    	   0.0000000E+00	    1.700000    
   -1476.500    	   0.0000000E+00	   -2.100000    
   -1475.500    	   0.0000000E+00	   -6.900000    
   -1474.500    	   0.0000000E+00	   -4.900000    
   -1473.500    	   0.0000000E+00	  -0.8000000    
   -1472.500    	   0.0000000E+00	    6.000000    
   -1471.500    	   0.0000000E+00	    10.90000    
   -1470.500    	   0.0000000E+00	    16.50000    
   -1469.500    	   0.0000000E+00	    17.80000    
   -1468.500    	   0.0000000E+00	    17.50000    
   -1467.500    	   0.0000000E+00	    14.40000    
   -1466.500    	   0.0000000E+00	    8.900001    
   -1465.500    	   0.0000000E+00	    3.800000    
   -1464.500    	   0.0000000E+00	   -2.300000    
   -1463.500    	   0.0000000E+00	  -0.3000000    
   -1462.500    	   0.0000000E+00	   -8.100000    
   -1461.500    	   0.0000000E+00	    1.400000    
   -1460.500    	   0.0000000E+00	    3.900000    
   -1459.500    	   0.0000000E+00	    12.30000    
   -1458.500    	   0.0000000E+00	    19.40000    
   -1457.500    	   0.0000000E+00	    22.20000    
   -1456.500    	   0.0000000E+00	    19.70000    
   -1455.500    	   0.0000000E+00	    15.70000    
   -1454.500    	   0.0000000E+00	    8.900001    
   -1453.500    	   0.0000000E+00	    1.800000    
   -1452.500    	   0.0000000E+00	   -3.400000    
   -1451.500    	   0.0000000E+00	   -3.400000    
   -1450.500    	   0.0000000E+00	   -2.700000    
   -1449.500    	   0.0000000E+00	   0.8000000    
   -1448.500    	   0.0000000E+00	    6.900000    
   -1447.500    	   0.0000000E+00	    11.80000    
   -1446.500    	   0.0000000E+00	    14.50000    
   -1445.500    	   0.0000000E+00	    20.60000    
   -1444.500    	   0.0000000E+00	    18.70000    
   -1443.500    	   0.0000000E+00	    15.40000    
   -1442.500    	   0.0000000E+00	    9.700000    
   -1441.500    	   0.0000000E+00	    2.300000    
   -1440.500    	   0.0000000E+00	   -1.600000    
   -1439.500    	   0.0000000E+00	   -8.600000    
   -1438.500    	   0.0000000E+00	  -0.7000000    
   -1437.500    	   0.0000000E+00	    1.200000    
   -1436.500    	   0.0000000E+00	    8.200000    
   -1435.500    	   0.0000000E+00	    12.20000    
   -1434.500    	   0.0000000E+00	    17.10000    
   -1433.500    	   0.0000000E+00	    20.20000    
   -1432.500    	   0.0000000E+00	    19.60000    
   -1431.500    	   0.0000000E+00	    14.10000    
   -1430.500    	   0.0000000E+00	    9.300000    
   -1429.500    	   0.0000000E+00	    3.800000    
   -1428.500    	   0.0000000E+00	   -3.700000    
   -1427.500    	   0.0000000E+00	   -1.900000    
   -1426.500    	   0.0000000E+00	   -4.600000    
   -1425.500    	   0.0000000E+00	    1.000000    
   -1424.500    	   0.0000000E+00	    4.700000    
   -1423.500    	   0.0000000E+00	    10.80000    
   -1422.500    	   0.0000000E+00	    18.60000    
   -1421.500    	   0.0000000E+00	    18.80000    
   -1420.500    	   0.0000000E+00	    18.90000    
   -1419.500    	   0.0000000E+00	    16.50000    
