% Boston, MA (Blue Hills), station ID 74492000
%T	VER	NOAA NCDC GHCN v2 adjusted mean temp
%months since 1960-01-01	unitless	Celsius_scale
   -1499.500	           0	    -3.70000
   -1498.500	           0	    -5.40000
   -1497.500	           0	    -1.10000
   -1496.500	           0	     5.40000
   -1495.500	           0	    11.70000
   -1494.500	           0	    17.10000
   -1493.500	           0	    19.90000
   -1492.500	           0	    18.60000
   -1491.500	           0	    13.30000
   -1490.500	           0	    12.20000
   -1489.500	           0	     3.70000
   -1488.500	           0	    -6.30000
   -1487.500	           0	    -4.40000
   -1486.500	           0	    -7.90000
   -1485.500	           0	    -1.20000
   -1484.500	           0	     5.70000
   -1483.500	           0	    12.20000
   -1482.500	           0	    14.60000
   -1481.500	           0	    18.70000
   -1480.500	           0	    16.60000
   -1479.500	           0	    15.50000
   -1478.500	           0	     6.90000
   -1477.500	           0	     1.70000
   -1476.500	           0	    -2.10000
   -1475.500	           0	    -6.90000
   -1474.500	           0	    -4.90000
   -1473.500	           0	    -0.80000
   -1472.500	           0	     6.00000
   -1471.500	           0	    10.90000
   -1470.500	           0	    16.50000
   -1469.500	           0	    17.80000
   -1468.500	           0	    17.50000
   -1467.500	           0	    14.40000
   -1466.500	           0	     8.90000
   -1465.500	           0	     3.80000
   -1464.500	           0	    -2.30000
   -1463.500	           0	    -0.30000
   -1462.500	           0	    -8.10000
   -1461.500	           0	     1.40000
   -1460.500	           0	     3.90000
   -1459.500	           0	    12.30000
   -1458.500	           0	    19.40000
   -1457.500	           0	    22.20000
   -1456.500	           0	    19.70000
   -1455.500	           0	    15.70000
   -1454.500	           0	     8.90000
   -1453.500	           0	     1.80000
   -1452.500	           0	    -3.40000
   -1451.500	           0	    -3.40000
   -1450.500	           0	    -2.70000
   -1449.500	           0	     0.80000
   -1448.500	           0	     6.90000
   -1447.500	           0	    11.80000
   -1446.500	           0	    14.50000
   -1445.500	           0	    20.60000
   -1444.500	           0	    18.70000
   -1443.500	           0	    15.40000
   -1442.500	           0	     9.70000
   -1441.500	           0	     2.30000
   -1440.500	           0	    -1.60000
   -1439.500	           0	    -8.60000
   -1438.500	           0	    -0.70000
   -1437.500	           0	     1.20000
   -1436.500	           0	     8.20000
   -1435.500	           0	    12.20000
   -1434.500	           0	    17.10000
   -1433.500	           0	    20.20000
   -1432.500	           0	    19.60000
   -1431.500	           0	    14.10000
   -1430.500	           0	     9.30000
   -1429.500	           0	     3.80000
   -1428.500	           0	    -3.70000
   -1427.500	           0	    -1.90000
   -1426.500	           0	    -4.60000
   -1425.500	           0	     1.00000
   -1424.500	           0	     4.70000
   -1423.500	           0	    10.80000
   -1422.500	           0	    18.60000
   -1421.500	           0	    18.80000
   -1420.500	           0	    18.90000
   -1419.500	           0	    16.50000
   -1418.500	           0	     6.60000
   -1417.500	           0	     2.80000
   -1416.500	           0	    -0.70000
   -1415.500	           0	    -2.60000
   -1414.500	           0	    -0.30000
   -1413.500	           0	     2.60000
   -1412.500	           0	     6.30000
   -1411.500	           0	    10.20000
   -1410.500	           0	    15.70000
   -1409.500	           0	    20.90000
   -1408.500	           0	    19.60000
   -1407.500	           0	    13.80000
   -1406.500	           0	     8.60000
   -1405.500	           0	     2.10000
   -1404.500	           0	    -3.20000
   -1403.500	           0	    -0.30000
   -1402.500	           0	    -7.30000
   -1401.500	           0	    -3.10000
   -1400.500	           0	     6.60000
   -1399.500	           0	    11.90000
   -1398.500	           0	    16.40000
   -1397.500	           0	    19.00000
   -1396.500	           0	    20.40000
   -1395.500	           0	    15.80000
   -1394.500	           0	     9.10000
   -1393.500	           0	     2.20000
   -1392.500	           0	    -1.80000
   -1391.500	           0	    -8.10000
   -1390.500	           0	    -4.10000
   -1389.500	           0	     1.20000
   -1388.500	           0	     8.80000
   -1387.500	           0	    13.50000
   -1386.500	           0	    16.80000
   -1385.500	           0	    18.80000
   -1384.500	           0	    18.70000
   -1383.500	           0	    15.20000
   -1382.500	           0	     9.40000
   -1381.500	           0	     3.30000
   -1380.500	           0	    -1.30000
   -1379.500	           0	    -2.70000
   -1378.500	           0	    -2.90000
   -1377.500	           0	     2.20000
   -1376.500	           0	     6.00000
   -1375.500	           0	    11.90000
   -1374.500	           0	    17.30000
   -1373.500	           0	    19.50000
   -1372.500	           0	    20.50000
   -1371.500	           0	    14.00000
   -1370.500	           0	    10.70000
   -1369.500	           0	     6.40000
   -1368.500	           0	    -3.60000
   -1367.500	           0	    -3.10000
   -1366.500	           0	    -5.50000
   -1365.500	           0	     2.40000
   -1364.500	           0	     8.20000
   -1363.500	           0	    12.30000
   -1362.500	           0	    16.70000
   -1361.500	           0	    20.10000
   -1360.500	           0	    19.90000
   -1359.500	           0	    18.50000
   -1358.500	           0	     9.10000
   -1357.500	           0	     5.80000
   -1356.500	           0	    -2.60000
   -1355.500	           0	    -2.70000
   -1354.500	           0	     0.70000
   -1353.500	           0	    -1.00000
   -1352.500	           0	     5.10000
   -1351.500	           0	    10.70000
   -1350.500	           0	    17.00000
   -1349.500	           0	    21.00000
   -1348.500	           0	    18.40000
   -1347.500	           0	    15.60000
   -1346.500	           0	     8.90000
   -1345.500	           0	     6.70000
   -1344.500	           0	     1.60000
   -1343.500	           0	    -2.10000
   -1342.500	           0	    -3.90000
   -1341.500	           0	    -0.20000
   -1340.500	           0	     6.10000
   -1339.500	           0	    13.70000
   -1338.500	           0	    16.80000
   -1337.500	           0	    19.40000
   -1336.500	           0	    18.90000
   -1335.500	           0	    14.30000
   -1334.500	           0	     9.70000
   -1333.500	           0	     2.30000
   -1332.500	           0	     1.30000
   -1331.500	           0	    -5.80000
   -1330.500	           0	    -6.70000
   -1329.500	           0	     1.10000
   -1328.500	           0	     5.30000
   -1327.500	           0	    10.30000
   -1326.500	           0	    17.40000
   -1325.500	           0	    20.10000
   -1324.500	           0	    19.20000
   -1323.500	           0	    15.00000
   -1322.500	           0	     9.30000
   -1321.500	           0	     7.30000
   -1320.500	           0	    -1.90000
   -1319.500	           0	    -2.80000
   -1318.500	           0	    -1.50000
   -1317.500	           0	    -0.60000
   -1316.500	           0	     4.30000
   -1315.500	           0	     9.50000
   -1314.500	           0	    17.80000
   -1313.500	           0	    20.10000
