%    Melbourne, Australia, station ID   94868000
% T	VER	NOAA NCDC GHCN v2 adjusted mean temp
% months since 1960-01-01	unitless	Celsius_scale
   -1255.500	           0	    14.10000
   -1254.500	           0	    11.40000
   -1253.500	           0	    10.10000
   -1252.500	           0	    11.50000
   -1251.500	           0	    13.80000
   -1250.500	           0	    15.80000
   -1249.500	           0	    17.40000
   -1248.500	           0	    18.80000
   -1247.500	           0	    20.80000
   -1246.500	           0	    21.50000
   -1245.500	           0	    19.60000
   -1244.500	           0	    17.70000
   -1243.500	           0	    13.40000
   -1242.500	           0	    11.70000
   -1241.500	           0	     9.30000
   -1240.500	           0	    12.10000
   -1239.500	           0	    13.70000
   -1238.500	           0	    15.10000
   -1237.500	           0	    16.10000
   -1236.500	           0	    17.10000
   -1235.500	           0	    20.00000
   -1234.500	           0	    23.50000
   -1233.500	           0	    19.60000
   -1232.500	           0	    18.10000
   -1231.500	           0	    12.60000
   -1230.500	           0	    11.10000
   -1229.500	           0	    10.80000
   -1228.500	           0	    11.90000
   -1227.500	           0	    12.90000
   -1226.500	           0	    15.00000
   -1225.500	           0	    16.60000
   -1224.500	           0	    21.10000
   -1223.500	           0	    23.20000
   -1222.500	           0	    21.30000
   -1221.500	           0	    20.60000
   -1220.500	           0	    16.60000
   -1219.500	           0	    14.00000
   -1218.500	           0	    11.00000
   -1217.500	           0	     9.80000
   -1216.500	           0	    11.80000
   -1215.500	           0	    12.40000
   -1214.500	           0	    15.20000
   -1213.500	           0	    18.30000
   -1212.500	           0	    18.90000
   -1211.500	           0	    20.70000
   -1210.500	           0	    19.80000
   -1209.500	           0	    18.20000
   -1208.500	           0	    16.10000
   -1207.500	           0	    13.10000
   -1206.500	           0	    10.60000
   -1205.500	           0	     9.80000
   -1204.500	           0	    12.00000
   -1203.500	           0	    12.80000
   -1202.500	           0	    16.00000
   -1201.500	           0	    17.20000
   -1200.500	           0	    20.70000
   -1199.500	           0	    21.60000
   -1198.500	           0	    20.00000
   -1197.500	           0	    20.00000
   -1196.500	           0	    16.50000
   -1195.500	           0	    14.20000
   -1194.500	           0	    11.30000
   -1193.500	           0	    10.00000
   -1192.500	           0	    11.20000
   -1191.500	           0	    13.30000
   -1190.500	           0	    15.00000
   -1189.500	           0	    17.00000
   -1188.500	           0	    19.00000
   -1187.500	           0	    21.00000
   -1186.500	           0	    20.10000
   -1185.500	           0	    20.30000
   -1184.500	           0	    16.80000
   -1183.500	           0	    13.10000
   -1182.500	           0	    12.00000
   -1181.500	           0	     9.50000
   -1180.500	           0	    11.10000
   -1179.500	           0	    13.40000
   -1178.500	           0	    15.90000
   -1177.500	           0	    16.60000
   -1176.500	           0	    18.20000
   -1175.500	           0	    21.20000
