% Paris, France, station ID 7150000
%T	VER	NOAA NCDC GHCN v2 adjusted mean temp
%months since 1960-01-01	unitless	Celsius_scale
   -1307.500	           0	     4.20000
   -1306.500	           0	     3.00000
   -1305.500	           0	     5.90000
   -1304.500	           0	     9.00000
   -1303.500	           0	     9.90000
   -1302.500	           0	    15.20000
   -1301.500	           0	    15.50000
   -1300.500	           0	    17.20000
   -1299.500	           0	    12.30000
   -1298.500	           0	    10.80000
   -1297.500	           0	     3.20000
   -1296.500	           0	     2.10000
   -1295.500	           0	     4.10000
   -1294.500	           0	     3.40000
   -1293.500	           0	     4.80000
   -1292.500	           0	     8.00000
   -1291.500	           0	    13.00000
   -1290.500	           0	    14.30000
   -1289.500	           0	    20.20000
   -1288.500	           0	    16.90000
   -1287.500	           0	    14.00000
   -1286.500	           0	     9.40000
   -1285.500	           0	    10.40000
   -1284.500	           0	     7.40000
   -1283.500	           0	     5.40000
   -1282.500	           0	     0.10000
   -1281.500	           0	     2.70000
   -1280.500	           0	     8.00000
   -1279.500	           0	    11.70000
   -1278.500	           0	    14.40000
   -1277.500	           0	    16.20000
   -1276.500	           0	    16.30000
   -1275.500	           0	    13.80000
   -1274.500	           0	    11.60000
   -1273.500	           0	     5.20000
   -1272.500	           0	    -1.50000
   -1271.500	           0	     3.40000
   -1270.500	           0	     3.00000
   -1269.500	           0	     6.90000
   -1268.500	           0	    11.00000
   -1267.500	           0	    11.10000
   -1266.500	           0	    12.90000
   -1265.500	           0	    17.00000
   -1264.500	           0	    16.00000
   -1263.500	           0	    15.30000
   -1262.500	           0	    11.80000
   -1261.500	           0	     5.10000
   -1260.500	           0	     5.00000
   -1259.500	           0	    -0.40000
   -1258.500	           0	    -0.50000
   -1257.500	           0	     4.30000
   -1256.500	           0	     8.20000
   -1255.500	           0	    10.00000
   -1254.500	           0	    13.90000
   -1253.500	           0	    16.50000
   -1252.500	           0	    17.40000
   -1251.500	           0	    14.70000
   -1250.500	           0	    11.50000
   -1249.500	           0	     4.00000
   -1248.500	           0	     1.30000
   -1247.500	           0	     4.60000
   -1246.500	           0	     5.00000
   -1245.500	           0	     4.70000
   -1244.500	           0	     9.60000
   -1243.500	           0	    10.10000
   -1242.500	           0	    15.60000
   -1241.500	           0	    16.20000
   -1240.500	           0	    18.90000
   -1239.500	           0	    12.90000
   -1238.500	           0	    11.40000
   -1237.500	           0	     4.50000
   -1236.500	           0	     4.10000
   -1235.500	           0	     1.80000
   -1234.500	           0	     2.80000
   -1233.500	           0	     5.40000
   -1232.500	           0	     8.50000
   -1231.500	           0	    13.50000
   -1230.500	           0	    16.30000
   -1229.500	           0	    18.20000
   -1228.500	           0	    18.30000
   -1227.500	           0	    16.10000
   -1226.500	           0	    12.00000
   -1225.500	           0	     7.90000
   -1224.500	           0	     4.60000
   -1223.500	           0	    -0.10000
   -1222.500	           0	     1.60000
   -1221.500	           0	     5.10000
   -1220.500	           0	    10.30000
   -1219.500	           0	    10.70000
   -1218.500	           0	    18.70000
   -1217.500	           0	    15.20000
   -1216.500	           0	    16.30000
   -1215.500	           0	    16.40000
   -1214.500	           0	    10.90000
   -1213.500	           0	     3.10000
   -1212.500	           0	     4.20000
   -1211.500	           0	     3.10000
   -1210.500	           0	     4.80000
   -1209.500	           0	     7.80000
   -1208.500	           0	     9.80000
   -1207.500	           0	    12.60000
   -1206.500	           0	    16.20000
   -1205.500	           0	    20.70000
   -1204.500	           0	    18.60000
   -1203.500	           0	    14.50000
   -1202.500	           0	    12.20000
   -1201.500	           0	     5.70000
   -1200.500	           0	     1.10000
   -1199.500	           0	     4.30000
   -1198.500	           0	     0.70000
   -1197.500	           0	     4.20000
   -1196.500	           0	     6.90000
   -1195.500	           0	    13.00000
   -1194.500	           0	    13.70000
   -1193.500	           0	    14.50000
   -1192.500	           0	    14.50000
   -1191.500	           0	    13.10000
   -1190.500	           0	    10.50000
   -1189.500	           0	     4.90000
   -1188.500	           0	     2.70000
   -1187.500	           0	    -1.70000
   -1186.500	           0	     4.60000
   -1185.500	           0	     6.90000
   -1184.500	           0	     8.50000
   -1183.500	           0	    11.70000
   -1182.500	           0	    16.70000
