% Tokyo, Japan (Katsuura), Station ID 47674001
%T	VER	NOAA NCDC GHCN v2 adjusted mean temp
%months since 1960-01-01	unitless	Celsius_scale
    -647.500	           0	     4.50000
    -646.500	           0	     5.30000
    -645.500	           0	     8.50000
    -644.500	           0	    13.30000
    -643.500	           0	    16.20000
    -642.500	           0	    18.60000
    -641.500	           0	    23.50000
    -640.500	           0	    24.80000
    -639.500	           0	    21.30000
    -638.500	           0	    17.20000
    -637.500	           0	    11.90000
    -636.500	           0	     9.40000
    -635.500	           0	     6.90000
    -634.500	           0	     4.60000
    -633.500	           0	     7.80000
    -632.500	           0	    13.40000
    -631.500	           0	    16.90000
    -630.500	           0	    18.90000
    -629.500	           0	    22.10000
    -628.500	           0	    25.90000
    -627.500	           0	    22.20000
    -626.500	           0	    17.20000
    -625.500	           0	    13.80000
    -624.500	           0	     7.90000
    -623.500	           0	     6.80000
    -622.500	           0	     6.00000
    -621.500	           0	     8.50000
    -620.500	           0	    13.00000
    -619.500	           0	    16.30000
    -618.500	           0	    20.40000
    -617.500	           0	    22.40000
    -616.500	           0	    25.20000
    -615.500	           0	    20.90000
    -614.500	           0	    18.10000
    -613.500	           0	    12.20000
    -612.500	           0	     8.50000
    -611.500	           0	     5.30000
    -610.500	           0	     6.00000
    -609.500	           0	     8.30000
    -608.500	           0	    14.20000
    -607.500	           0	    17.40000
    -606.500	           0	    20.50000
    -605.500	           0	    23.80000
    -604.500	           0	    26.00000
    -603.500	           0	    23.50000
    -602.500	           0	    17.40000
    -601.500	           0	    13.40000
    -600.500	           0	     8.00000
    -599.500	           0	     8.10000
    -598.500	           0	     5.40000
    -597.500	           0	     8.20000
    -596.500	           0	    13.00000
    -595.500	           0	    17.60000
    -594.500	           0	    20.40000
    -593.500	           0	    23.20000
    -592.500	           0	    24.50000
    -591.500	           0	    22.00000
    -590.500	           0	    18.00000
    -589.500	           0	    13.50000
    -588.500	           0	     7.30000
    -587.500	           0	     8.10000
    -586.500	           0	     5.40000
    -585.500	           0	    10.30000
    -584.500	           0	    14.50000
    -583.500	           0	    16.60000
    -582.500	           0	    20.60000
    -581.500	           0	    23.20000
    -580.500	           0	    25.30000
    -579.500	           0	    23.50000
    -578.500	           0	    17.90000
    -577.500	           0	    15.20000
    -576.500	           0	     8.60000
    -575.500	           0	     6.00000
    -574.500	           0	     9.00000
    -573.500	           0	     9.70000
    -572.500	           0	    13.80000
    -571.500	           0	    16.40000
    -570.500	           0	    20.50000
    -569.500	           0	    22.80000
    -568.500	           0	    25.60000
    -567.500	           0	    21.70000
    -566.500	           0	    17.40000
    -565.500	           0	    11.80000
    -564.500	           0	     8.60000
    -563.500	           0	     5.30000
    -562.500	           0	     7.10000
    -561.500	           0	     8.20000
    -560.500	           0	    15.00000
    -559.500	           0	    17.30000
    -558.500	           0	    20.90000
    -557.500	           0	    23.80000
    -556.500	           0	    25.00000
    -555.500	           0	    21.70000
    -554.500	           0	    17.70000
    -553.500	           0	    12.50000
    -552.500	           0	     8.20000
    -551.500	           0	     7.90000
    -550.500	           0	     5.60000
    -549.500	           0	    10.80000
    -548.500	           0	    13.20000
    -547.500	           0	    18.50000
    -546.500	           0	    21.20000
    -545.500	           0	    24.70000
    -544.500	           0	    26.60000
    -543.500	           0	    23.50000
    -542.500	           0	    17.60000
    -541.500	           0	    14.80000
    -540.500	           0	     9.40000
    -539.500	           0	     6.30000
    -538.500	           0	     6.20000
    -537.500	           0	     7.90000
    -536.500	           0	    12.60000
    -535.500	           0	    16.70000
    -534.500	           0	    21.40000
    -533.500	           0	    24.00000
    -532.500	           0	    26.20000
    -531.500	           0	    24.10000
    -530.500	           0	    19.40000
    -529.500	           0	    13.80000
    -528.500	           0	     9.80000
    -527.500	           0	     8.50000
    -526.500	           0	     6.60000
    -525.500	           0	     7.70000
    -524.500	           0	    13.90000
    -523.500	           0	    17.70000
    -522.500	           0	    23.30000
    -521.500	           0	    24.20000
    -520.500	           0	    25.50000
    -519.500	           0	    25.10000
    -518.500	           0	    17.70000
    -517.500	           0	    13.90000
    -516.500	           0	     9.30000
    -515.500	           0	     5.50000
    -514.500	           0	     6.60000
    -513.500	           0	     8.70000
    -512.500	           0	    13.80000
    -511.500	           0	    16.20000
    -510.500	           0	    19.10000
    -509.500	           0	    24.90000
    -508.500	           0	    25.20000
    -507.500	           0	    23.50000
    -506.500	           0	    19.20000
    -505.500	           0	    11.40000
    -504.500	           0	     7.50000
    -503.500	           0	     4.10000
    -502.500	           0	     5.70000
    -501.500	           0	     8.40000
    -500.500	           0	    12.80000
    -499.500	           0	    17.40000
    -498.500	           0	    19.80000
    -497.500	           0	    24.50000
    -496.500	           0	    26.30000
    -495.500	           0	    24.00000
    -494.500	           0	    18.30000
    -493.500	           0	    13.30000
    -492.500	           0	     7.20000
    -491.500	           0	     5.70000
    -490.500	           0	     6.40000
    -489.500	           0	    10.80000
    -488.500	           0	    14.50000
    -487.500	           0	    16.50000
    -486.500	           0	    19.90000
    -485.500	           0	    24.00000
    -484.500	           0	    25.10000
    -483.500	           0	    23.70000
    -482.500	           0	    18.50000
    -481.500	           0	    13.70000
    -480.500	           0	     7.70000
    -479.500	           0	     7.20000
    -478.500	           0	     5.00000
    -477.500	           0	     8.40000
    -476.500	           0	    13.70000
    -475.500	           0	    17.70000
    -474.500	           0	    20.50000
    -473.500	           0	    25.60000
    -472.500	           0	    27.00000
    -471.500	           0	    23.10000
    -470.500	           0	    18.40000
    -469.500	           0	    14.60000
    -468.500	           0	     8.10000
    -467.500	           0	     7.00000
    -466.500	           0	     6.10000
    -465.500	           0	     8.00000
    -464.500	           0	    15.00000
    -463.500	           0	    17.40000
    -462.500	           0	    19.20000
    -461.500	           0	    24.50000
    -460.500	           0	    26.00000
    -459.500	           0	    23.00000
    -458.500	           0	    17.20000
    -457.500	           0	    11.90000
    -456.500	           0	     8.20000
    -455.500	           0	     3.30000
    -454.500	           0	     9.40000
    -453.500	           0	     8.40000
    -452.500	           0	    14.00000
    -451.500	           0	    17.10000
    -450.500	           0	    21.30000
    -449.500	           0	    24.10000
    -448.500	           0	    26.80000
    -447.500	           0	    24.60000
    -446.500	           0	    18.60000
    -445.500	           0	    13.50000
    -444.500	           0	     7.00000
    -443.500	           0	     4.90000
    -442.500	           0	     4.90000
    -441.500	           0	     9.70000
    -440.500	           0	    13.50000
    -439.500	           0	    17.50000
    -438.500	           0	    20.60000
    -437.500	           0	    23.40000
    -436.500	           0	    26.40000
    -435.500	           0	    24.50000
    -434.500	           0	    18.90000
    -433.500	           0	    14.70000
